Income_Segment,Education,Has_Children,Enrollment_Year,Product,Sales
Medium,Graduation,No Children,2012,Wine,635
Medium,Graduation,Has Children,2014,Wine,11
High,Graduation,No Children,2013,Wine,426
Low,Graduation,Has Children,2014,Wine,11
Medium,PhD,Has Children,2014,Wine,173
High,Master,Has Children,2013,Wine,520
Medium,Graduation,Has Children,2012,Wine,235
Medium,PhD,Has Children,2013,Wine,76
Medium,PhD,Has Children,2013,Wine,14
Low,PhD,Has Children,2014,Wine,28
Medium,Graduation,Has Children,2013,Wine,5
Low,Basic,No Children,2012,Wine,6
High,Graduation,No Children,2013,Wine,194
Medium,Master,Has Children,2013,Wine,233
Low,Graduation,No Children,2012,Wine,3
High,PhD,No Children,2012,Wine,1006
Medium,Graduation,Has Children,2012,Wine,53
Medium,Graduation,No Children,2012,Wine,84
High,Master,Has Children,2013,Wine,1012
Medium,Diploma,Has Children,2012,Wine,4
Medium,Graduation,No Children,2012,Wine,86
Low,Graduation,Has Children,2013,Wine,1
Medium,PhD,Has Children,2012,Wine,867
High,PhD,Has Children,2014,Wine,384
Medium,Graduation,Has Children,2013,Wine,270
Low,Graduation,No Children,2013,Wine,6
Medium,Graduation,Has Children,2013,Wine,173
Medium,Graduation,Has Children,2013,Wine,5
Medium,Graduation,Has Children,2013,Wine,36
High,PhD,No Children,2013,Wine,684
Low,Master,No Children,2014,Wine,8
Medium,Master,No Children,2013,Wine,112
Medium,Graduation,Has Children,2012,Wine,110
Medium,PhD,Has Children,2012,Wine,96
High,Master,No Children,2013,Wine,482
Medium,Master,Has Children,2013,Wine,40
High,PhD,Has Children,2013,Wine,702
Low,Diploma,Has Children,2013,Wine,6
Medium,Graduation,Has Children,2014,Wine,55
Medium,PhD,No Children,2013,Wine,437
High,Graduation,Has Children,2013,Wine,421
Low,Master,Has Children,2013,Wine,13
Low,Graduation,Has Children,2012,Wine,9
Medium,PhD,No Children,2013,Wine,81
Low,Master,Has Children,2013,Wine,3
High,Graduation,No Children,2014,Wine,123
Low,Diploma,No Children,2012,Wine,3
Medium,Graduation,Has Children,2013,Wine,13
Medium,Graduation,Has Children,2014,Wine,48
High,PhD,Has Children,2012,Wine,826
High,Graduation,Has Children,2014,Wine,245
High,Master,No Children,2012,Wine,650
Medium,Graduation,Has Children,2013,Wine,12
High,Graduation,No Children,2014,Wine,510
High,Graduation,Has Children,2013,Wine,328
High,Master,No Children,2012,Wine,984
High,Graduation,No Children,2013,Wine,295
Low,Graduation,Has Children,2014,Wine,13
Medium,Graduation,Has Children,2013,Wine,11
Medium,PhD,Has Children,2014,Wine,447
High,Master,No Children,2013,Wine,712
High,Graduation,Has Children,2012,Wine,452
High,Graduation,Has Children,2013,Wine,523
High,PhD,Has Children,2013,Wine,546
High,Graduation,No Children,2013,Wine,398
Low,Graduation,Has Children,2013,Wine,1
Medium,Graduation,Has Children,2014,Wine,10
High,Diploma,Has Children,2014,Wine,688
